run_id,run_name,state,pretrained_model,tm_weight,model_type,max_context_utterances,batch_size,num_epochs,learning_rate,val_f1,val_accuracy,val_loss,train_loss,top_k_acc_3,val_cumulative70_pred_accuracy_plus_true,mean_js_divergence,epoch,class_macro_avg_f1,class_weighted_avg_f1
c3i676y8,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_4_model_type_bert_tm_weight_1.5_v37_fold3,finished,Eurobert_210m,1.5,bert,,,,,0.14897036907192476,0.1792152704135737,3.898109761873881,2.2022225336595014,0.3494167550371156,0.9745493107104984,0.07179258879229186,5.0,0.08644110094880508,0.14897036907192476
4gwzqs3u,380_full_categories_gbert_large_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_1.0_v24_fold0,finished,gbert_large,1.0,history,,,,,0.015740377167075877,0.09273640931932388,4.451633031027658,4.450090923309326,0.20603015075376885,0.7747830059387848,0.1955331643721949,5.0,0.002926421404682274,0.015740377167075877
ja34usjs,380_full_categories_gbert_large_phase_full_transition_loss_ctx_4_model_type_bert_tm_weight_0.0_v5_fold1,finished,gbert_large,0.0,bert,,,,,0.15272018778679447,0.16482359136387573,3.8065640846888225,1.5697443788701837,0.3328067403896788,0.7888362295945235,0.28726540814265905,9.0,0.09838715037195753,0.1691514621729332
2nado120,380_full_categories_gbert_base_phase_full_transition_loss_ctx_8_model_type_bert_tm_weight_1.5_v38_fold0,finished,gbert_base,1.5,bert,,,,,0.15064907547490938,0.17907720420283235,3.781715243203299,2.9123598098754884,0.3293741434444952,0.9853814527181362,0.06897203387702006,10.0,0.10197466004145031,0.16111548940044942
ulucgd23,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.0_model_type_bert_v0_fold2,finished,Eurobert_210m,0.0,bert,,,,,0.09121318591480404,0.11234764175940648,4.832858308156331,0.2583169080994346,0.24907260201377848,0.7254901960784313,0.33519025536702174,9.0,0.06264509271895273,0.11103927103326819
bu7r9cg5,380_full_categories_gbert_large_phase_full_transition_loss_ctx_4_model_type_history_tm_weight_0.0_v1_fold2,finished,gbert_large,0.0,history,,,,,0.14356333641103589,0.15474297827239003,3.971310098965963,1.039083853634921,0.32114467408585057,0.7334393216746158,0.3139142511150137,10.0,0.09622132804363011,0.16009163753553246
fmf7xung,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_8_model_type_bert_tm_weight_1.5_v38_fold3,finished,Eurobert_210m,1.5,bert,,,,,0.15435606623075557,0.18769883351007424,3.8509770075480145,1.869162661379034,0.3462354188759279,0.97932131495228,0.05887923070734928,7.0,0.08933028045762699,0.15897891401739972
ljgolo8s,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_12_model_type_bert_tm_weight_1.0_v31_fold0,finished,Eurobert_610m,1.0,bert,,,,,0.15496788868346534,0.18227501142074007,3.7723004817962646,1.5038343095779418,0.33074463225216993,0.9511192325262676,0.06793786772334194,10.0,0.0963887962573981,0.16026094200096755
nxypagm7,380_full_categories_gbert_base_phase_full_transition_loss_ctx_12_model_type_bert_tm_weight_1.5_v39_fold0,finished,gbert_base,1.5,bert,,,,,0.15687374681616498,0.1845591594335313,3.718373761858259,3.11834255695343,0.3522156235724075,0.9853814527181362,0.07457447298103949,10.0,0.09929210742796223,0.15687374681616498
bs11ivk6,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_4_model_type_bert_tm_weight_1.5_v37_fold4,finished,Eurobert_210m,1.5,bert,,,,,0.12462399854688,0.14997649271274094,4.097051178707796,1.6853112075843064,0.2943112364833098,0.9793135872120358,0.04961705689402256,10.0,0.07868010165492233,0.13505186487037663
dgjo8vs3,380_full_categories_Eurobert_210m_phase_label_smoothing_ls_0.1_model_type_bert_v1_fold2,finished,Eurobert_210m,0.0,bert,,,,,0.09450533798654435,0.10545839957604664,4.441950194040934,0.43342433653094553,0.228404875463699,0.7000529941706413,0.3125657957336781,7.0,0.06259158616700033,0.1130596477613017
9e4i7lmj,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_8_model_type_bert_tm_weight_1.5_v38_fold4,finished,Eurobert_210m,1.5,bert,,,,,0.11772574175481404,0.1457451810061119,4.028048999169293,2.1961499546088423,0.2924306535025858,0.9642689233662436,0.06788836987351961,6.0,0.06938416648228508,0.12651839770839166
q2ia48ug,380_full_categories_gbert_large_phase_full_transition_loss_ctx_8_model_type_bert_tm_weight_0.0_v6_fold1,finished,gbert_large,0.0,bert,,,,,0.15751950594384073,0.17008952080042128,3.9006099541982016,1.3432784297249534,0.3328067403896788,0.7667193259610321,0.3168631626218345,10.0,0.09345442513367386,0.16020990233531449
wz2v4ou5,380_full_categories_Eurobert_610m_phase_full_transition_loss_ctx_1_model_type_history_tm_weight_1.5_v32_fold0,finished,Eurobert_610m,1.5,history,,,,,0.14037124550748695,0.16719963453631795,3.857844591140747,1.7844115924835204,0.323435358611238,0.9620831429876656,0.05596958284102192,8.0,0.09048957241943825,0.15325790844186338
7hcpywfr,380_full_categories_Eurobert_210m_phase_full_transition_loss_ctx_12_model_type_bert_tm_weight_1.5_v39_fold4,finished,Eurobert_210m,1.5,bert,,,,,0.11742245667110576,0.14480488951574988,4.164989808026482,1.9025375258688833,0.2839680300893277,0.9562764456981664,0.06558731046613787,7.0,0.07172076616424625,0.1345146091848555
z23xh2q6,380_full_categories_gbert_large_phase_full_transition_loss_ctx_8_model_type_history_tm_weight_0.0_v2_fold2,finished,gbert_large,0.0,history,,,,,0.13922880097061965,0.14732379438261792,3.996782350540161,1.2429290489716964,0.3041865394806571,0.708532061473238,0.3137204436964687,10.0,0.09585522234570655,0.15748408658782462
